entity_a,entity_b,transaction_count
LENDINGHOME FUNDING CORPORATION,OTOMI REMODELING LLC,6
LENDINGHOME FUNDING CORPORATION,MARELI PROPERTIES LLC,6
KIAVI FUNDING INC,REVIVE ATX LLC,6
GOLDEN KIWI GROUP LLC,KIAVI FUNDING INC,6
KIAVI FUNDING INC,KITB HOLDINGS LLC,6
HAWKSHEAD HOLDINGS LLC,KIAVI FUNDING INC,6
TUSKER CAPITAL FUND LLC,ZDS PROPERTIES INC,6
TAYTON INVESTMENTS LLC,TUSKER CAPITAL FUND LLC,6
GENESIS CAPITAL LLC,SPRINKLE CUTOFF HOLDINGS LLC,6
BNSBW LLC,HOUSEMAX FUNDING FUND I LLC,6
HOUSEMAX FUNDING FUND I LLC,MCCARLEYS LLC,6
ATX LUXURY BUILDERS LLC,HOUSEMAX FUNDING FUND I LLC,6
ANCHOR LOANS LP,OFFER HUB LLC,6
CANAAN LOS LLC,DOMINION FINANCIAL SERVICES LLC,6
A&S LENDING LLC,MERCHANTS FUNDING LLC,6
AMERICAN HOMES 4 RENT TRS LLC,AMH 2014-1 BORROWER LLC,5
AMH 2015-2 BORROWER LP,AMH TX PROPERTIES LP,5
MAIN STREET RENEWAL LLC(+),RH PARTNERS OWNERCO LLC,5
PRETIUM MORTGAGE ACQUISITION TRUST(+),PRETIUM MORTGAGE CREDIT PARTNERS I LOAN ACQUISITION LP,5
SFR JV-2 PROPERTY LLC,ZILLOW HOMES PROPERTY TRUST,5
ADDISON MASTER COMMUNITY INC,CARMA PROPERTIES WESTPORT LLC,5
J & E MILLER FAMILY LIMITED PARTNERSHIP,LNV CORPORATION,5
CITIGROUP GLOBAL MARKETS REALTY CORP,LNV CORPORATION,5
LNV CORPORATION,RESIDENTIAL FUNDING COMPANY LLC,5
SFR JV-2 PROPERTY LLC,ZILLOW HOMES PROPERTY TRUST(+),5
DOORS DEVELOPMENT GOLD LLC,LENDINGHOME FUNDING CORPORATION,5
KIAVI FUNDING INC,MARKET PROPERTIES LP,5
ARSENAL PROPERTY STRATEGIES LLC,KIAVI FUNDING INC,5
1208 S 5TH ST LLC,GENESIS CAPITAL LLC,5
HOUSEMAX FUNDING FUND I LLC,PRECISE CUSTOM HOMES INC,5
HOUSEMAX FUNDING FUND I LLC,PACIFIC RBLF FUNDING TRUST,5
AUSTIN PRECISE HOMES LLC,HOUSEMAX FUNDING FUND I LLC,5
ANCHOR ASSETS II LLC,ANCHOR LOANS LP,5
AMH 2014-2 BORROWER LP,AMH TX PROPERTIES LP,4
AMH TX PROPERTIES LP,ARP 2014-1 BORROWER LLC,4
AH4R I TX DFW LLC,AH4R I TX LLC,4
AH4R PROPERTIES LLC(+),"AMH TX PROPERTIES, LP",4
AH4R PROPERTIES LLC,PRESIDENTIAL GLEN MASTER COMMUNITY INC,4
AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,SHADOWGLEN RESIDENTIAL PROPERTY OWNERS ASSOCIATION INC,4
DLJ MORTGAGE CAPITAL INC,PRETIUM MORTGAGE ACQUISITION TRUST(+),4
NWL COMPANY LLC,PRETIUM MORTGAGE ACQUISITION TRUST(+),4
HP TEXAS I LLC,HPA TEXAS SUB 2016-2 LLC,4
HPA BORROWER 2019-2 LLC,WILMINGTON TRUST,4
HPA BORROWER 2019-2 LLC,SFR ACQUISITIONS 4 LLC,4
GERLICH HOMES INC,KAISER PROPERTIES BLUE LLC,4
LNV CORPORATION,TODD CHARTER SERVICE INC,4
GREEN TREE HE/HI BORROWER LLC,LNV CORPORATION,4
HPA US1 LLC,WILMINGTON TRUST,4
LENDINGHOME FUNDING CORPORATION,PURCHASING FUND 2019 -2 LLC,4
COLCAP HOLDINGS LLC,TOORAK CAPITAL PARTNERS(+),4
ACCELERATED FUNDING LLC,TOORAK CAPITAL PARTNERS LLC,4
MCDANIEL RESIDENTIAL LLC,TOORAK CAPITAL PARTNERS LLC,4
MERCHANTS NE LLC,TOORAK CAPITAL PARTNERS LLC,4
MENEHUNE MADNESS LLC,TOORAK CAPITAL PARTNERS LLC(+),4
LENDINGONE LLC,TOORAK CAPITAL PARTNERS LLC,4
SOLTANI SYNDICATE GROUP LLC,TOORAK CAPITAL PARTNERS LLC,4
TOORAK CAPITAL PARTNERS LLC(+),VIDA MODERNA LLC,4
