Mailing_Address,Num_Entities,Sample_Entities
814 LAVACA ST AUSTIN TX 787012316,15,814 LAVACA LLC; 1800 CESAR CHAVEZ LLC; 901 EAST CESAR CHAVEZ LLC; WC 720 RED RIVER LP; 11530 MENCHACA ROAD LLC
101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,15,GREGG LANE DEV LLC; ATX ELGIN DEV LLC ETAL; LATITUDE COMMERCIAL SERIES A LLC; ANDERSON LANE CONDOS HOLDINGS LLC; ENCLAVE AT LAKE'S EDGE HOLDINGS LLC
% GOODWIN & COMPANY PO BOX 203310 AUSTIN TX 787203310,15,TC SUN CHASE HOA INC; PARKRIDGE GARDENS OWNERS ASSOCIATION INC; CRYSTALL FALLS HOA INC; PARK AT BLACKHAWK & LAKESIDE HOA INC; MPS VISTA BLUFF DEVELOPMENT LP
5508 PARKCREST DR STE 320 AUSTIN TX 787315049,14,FBZ TOWN LAKE CIRCLE III LLC; FBK RIO GRANDE LLC; 3220 DUVAL ROAD LLC; FBZ TOWN LAKE CIRCLE LP; F&B 1616 ROYAL CREST LP
3839 BEE CAVES RD STE 200 AUSTIN TX 787466400,14,7401 HWY 290 W LLC; 724 BASTROP HWY LLC; 7305 BURNET LLC; 1601 FARO DRIVE LLC; 6820 GUADALUPE LLC
4731 CAT MOUNTAIN DR AUSTIN TX 787313507,14,MJ2901 PROPERTIES LLC; RJ 814 PROPERTIES LLC; RJ 2915 PROPERTIES LLC; RJ 2712 PRPERTIES LLC; MJ 2901 PROPERTIES LLC
3267 BEE CAVES RD STE 107 PMB 92 AUSTIN TX US 78746,14,2101 MANOR RD LLC; 6301 N LAMAR BLVD LLC; 2314 E 7TH ST LLC; 6715 HWY 290 LLC; 1135 AIRPORT BLVD LLC
804 CONGRESS AVE STE 300 AUSTIN TX 787012630,13,POLAR BEAR TRUST; 900 BEN WHITE LP; LOTUS MJ LLC; 3720 RANCH ROAD LP; 1213 WESTT FIFTH LP
% COUSINS PROPERTIES INC 303 COLORADO ST STE 1500 AUSTIN TX 787014654,13,COUSINS-ONE CONGRESS PLAZA LLC; COUSINS-SAN JACINTO CENTER LLC; TR DOMAIN 12 LLC; TR TERRACE LP; TR DOMAIN 9 LLC
1801 S MOPAC EXPY STE 100 AUSTIN TX 787467546,12,IVG HOLDINGS LLC; 3102 FONTANA LLC; 3910 TAMIL LLC; WLHD LLC SERIES N; BIRD LADIES LLC
701 S LAMAR BLVD STE C AUSTIN TX 787041547,12,969 TRIANGLE LLC; ROSEDALE RAMBLERS LLC; BLUEDALE LLC; HILL COUNTRY SPECIALISTS LLC; REGIENE HOLDINGS LLC
5103 INDIGO ST HOUSTON TX 770961413,12,923 E 37TH LLC; 907 W 30TH LLC; 811 W 30TH LLC; 3510 WEST AVENUE LLC; 3110 GRANDVIEW LLC
PO BOX 488 AUSTIN TX 787670488,12,RICE CAPITAL LLC; RICE CAPITAL LLC SERIES 22; RICE CAPITAL LLC-SERIES 14; RICE CAPITAL LLC SERIES 8; RICE CAPITAL LLC -SERIES 11
% BRANDYWINE REALTY TRUST - AUSTIN CIRA CENTRE 2929 ARCH ST STE 1800 PHILADELPHIA PA 191047324,12,BDN FOUR POINTS LAND 2 LLC; HARRIS SUSAN CHILES TRUST ETAL; G&I VII FOUR POINTS LP; BRANDYWINE GARZA OFFICE I LP; BRANDYWINE GARZA OFFICE II LP
704 W 9TH ST AUSTIN TX 787012214,12,2715 MANOR LLC; 703 W 9TH STREET OWNER LLC; 2513 SETON OWNER LP; 404 COLORADO OWNER LLC; 75 RAINEY OWNER LLC
9600 ESCARPMENT BLVD STE 745-268 AUSTIN TX 787491982,12,REALHA166 LLC - SERIES F; REALHA166 LLC; REALHA166 LLC-SERIES J; REALHA166 LLC-SERIES O; REALHA166 LLC - SERIES C
3800 N LAMAR BLVD # 200 AUSTIN TX 787560003,12,NAMELY INC; QE2 TRADING LLC; SONAS MARKETING INC; AFYA LOGIC INC; VETERAN SUPPLY SERVICES LLC
20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,12,SUNNOVA TEP 8-C LLC; SUNNOVA SAP IV LLC; SUNNOVA SOL VII LLC; SUNNOVA TEP 8-F LLC; SUNNOVA TEP 8-G LLC
3000 S INTERSTATE 35 STE 300 AUSTIN TX 787046536,11,FC WATERS PARK HOUSING LP; GARDEN TERRACE HOUSING CORP; FC MUELLER HOUSING LP; FC BLUEBONNET HOUSING LP; FC CARDINAL POINT HOUSING LP
7577 MISSION VALLEY RD SAN DIEGO CA 921084432,11,FENTON FOUNTAIN TERRACE LLC; FENTON DUET LLC; FENTON HYDE PARK PLACE LLC; FENTON DEEP EDDY FLATS LLC; FENTON 43 HYDE LLC
336 S CONGRESS AVE STE 100 AUSTIN TX 787041265,11,NEXT DORR LAND COMPANY LLC; 336 SOCO REAL HOLDING LLC; HINTON LUCINDA TRUST ETAL; AUSTIN TRUST COMPANY LTA; TURNER MATTHEW REVOCABLE TRUST
120 S RIVERSIDE PLZ STE 2000 CHICAGO IL 606066995,11,HPA TEXAS SUB 2017-1 LLC; SFR ACQUISITIONS 6 LLC; HPA TEXAS SUB 2016-2 LLC; SFR II BORROWER 2021-3 LLC; HEP II TEXAS SUB 2019-1 LLC
PO BOX 82653 AUSTIN TX 787082653,11,SIXSITE LLC; HUNTER HEIGHTS LLC; MB & MS ENTERPRISES INC; IMPERIA HOLDINGS LLC; POWERLANE HOLDINGS LLC
2623 JONES RD AUSTIN TX 787452640,11,SAB PARTNERS LLC; OE PARTNERS LLC; BASS INVESTMENTS INC; MANCHACA PARTNERS INC; WEST CANON INC
700 LAVACA ST STE 1560 AUSTIN TX 787010011,11,TCHFC CAPITOL VIEW LAND LLC; TCHFC SPRING VILLAS LAND LLC; TCHFC MEADOW LAND LLC; TCHFC BLUESTEIN LAND LLC; TCHFC AIRPORT GATEWAY LAND LLC
21100 CARRIES RANCH RD PFLUGERVILLE TX 786606423,11,INITIAL POINT HOLDINGS LLC; RABH 12 LLC; TIEMANN ROBERT MILLER TRUST; GROVE HAY LOT LLC; 05 RANCH INVESTMENTS LLC
4505 SECLUDED HOLLOW AUSTIN TX 787271704,11,LOT #106 TURBINE WEST LLC; LOT #112 & #113 TURBINE WEST LLC; LOT #92 TURBINE WEST LLC; LOT #93 TURBINE WEST LLC; LOT #142 TURBINE WEST LLC
7505 DOSWELL LN AUSTIN TX 787392072,11,1006 KING ALBERT LLC; 1712 ROYAL HILL LLC; 2327 ALDFORD LLC; 2104 KENNETH LLC; 2411 STASSNEY LLC
2100 NORTHLAND DR AUSTIN TX 787561116,11,PORTER BEAR CREEK DEVELOPMENT INC; LOST CREEK MARSHALL DEVELOPMENT INC; BAILEY LAND INVESTMENTS LP; CEARLEY TRACT DEVELOPMENT INC; MILESTONE COMMUNITY BLDRS LLC
212 LAVACA ST STE 300 AUSTIN TX 787013955,10,STRATUS PROPERTIES OPERATING COMPANY LP; STRATUS PROPERTIES INC; AUSTIN 290 PROPERTIES INC; STRATUS PROPERTIES OPERATING CO LP ETAL; STRATUS PROPERTIES OPERATING COMPANY
100 CONGRESS AVE STE 1100 AUSTIN TX 787014042,10,1700 RABB TRUST; HILLBILLY SLIP TRUST; ZENITH TRUST; 12217 IRON BLUFF TRUST; 2809 CARLTON TRUST
1221 S MOPAC EXPY STE 200 AUSTIN TX 787467625,10,1705 EAST 6TH LP; 1614 WEST 5TH LP; 7618 BURNET MULTIFAMILY LP; 506 WEST AVENUE LP; SIXTH & BLANCO OWNER LP
1900 E ANDERSON LN STE 103 AUSTIN TX 787521979,10,AM PETROLEUM INC; SOUTH 183 PROPERTIES LLC; MANOR PROPERTIES AT 973 LLC; FM RD 812 LLC; METALS & MEMORIES LLC
PO BOX 40127 AUSTIN TX 787040003,10,3423 GIBSON LLC; 3423 CRESTVIEW LLC; 3423 1700 CESAR CHAVEZ LLC; 3423 HOLDINGS LLC; 3423 INVESTMENTS LLC
3600 BALCONES DR AUSTIN TX USA 787315804,10,3504 KING ST LLC; FIRST DOUBLE LLC; BBI LLC; BB2 LLC; CASPIAN LLC
C/O LINK LOGISTICS PO BOX 2980 CHICAGO IL 60690,10,B10 SPRINGBROOK 7 TX OWNER LP; B9 SEQUOIA SOUTHPARK OWNER LP; B10 SPRINGBROOK 9 TX OWNER LP; B10 SPRINGBROOK 8 (TX) OWNER LP; COLFIN 2017-1 INUSTRIAL OWNER LLC
5900 BALCONES DR STE 100 AUSTIN TX US 787314298,10,2205 AMERICAN DR LLC; BROADWAY HOMES LLC; SAI KUBERA LAKSHMI LLC; HUNGRY GIANT WASTE SYSTEMS LLC; ELECTRIC RAY LLC
PO BOX 4090 SCOTTSDALE AZ 852614090,10,PROGRESS RESIDENTIAL BORROWER 23 LLC; PROGRESS RESIDENTIAL BORROWER 24 LL; TRUE NORTH PROPERTY OWNER B LLC; PROGRESS AUSTIN LLC; PROGRESS RESIDENTIAL BORROWER 18 LLC
7811 MENCHACA RD AUSTIN TX 787456943,10,2200 ALLRED DR LLC; 2206 ALLRED LLC; 12306 WIRTH LLC; 10203 OLD MENCHACA RD LLC; 2105 SLAUGHTER LANE LLC
